,CODIGO,ESTACION,TIPO,XUTM,YUTM,cota (m)
0,C076,Abetxuko,A,527154,4747039,510
1,C056,Alegria,A,538992,4743676,545
2,C035,Altube,M,510880,4757063,618
3,C0A3,Antoñana,A,549965,4725290,573
4,C001,Arkaute,M,530608,4744631,517
5,C025,Beluntza,M,508785,4756755,687
6,C0A2,Egino,A,561001,4746461,556
7,C034,Espejo,M,496749,4739452,504
8,C0AA,Etura,A,540535,4748260,549
9,C067,Gardea,C,501697,4774942,141
10,C040,Gasteiz,M,525491,4745317,546
11,C044,Gorbea,M,521688,4760787,662
12,C048,Herrera,M,526714,4716209,1188
13,C068,Ilarduia,M,558297,4747064,596
14,C024,Iturrieta,M,553614,4738189,987
15,C00A,Kanpezu,M,553957,4724980,550
16,C047,Kapildui,M,537916,4735162,1173
17,C031,Moreda,M,548437,4708613,490
18,C041,Navarrete,M,539174,4720716,689
19,C055,Ozaeta,A,541428,4751265,548
20,C060,Páganos,M,532903,4712079,577
21,C0A1,Pagoeta,A,522591,4721744,705
22,C021,Roitegi,M,551557,4736976,980
23,C030,Salvatierra,M,549518,4745236,589
24,C051,Saratxo,A,499947,4764668,230
25,C0A0,Sarria,A,513846,4758372,655
26,C049,Subijana,M,508819,4740785,537
27,C020,Trebiño,M,524451,4729542,578
28,C070,Zaldiaran,M,521672,4738231,980
29,C050,Zambrana,M,509366,4724739,470
30,C0B1,Abusu (La Peña),C,507116,4788295,23
31,C079,Amorebieta,C,521787,4785101,65
32,C0C1,Aranguren,A,489716,4784562,92
33,C061,Arboleda,M,494632,4793763,329
34,C032,Areta,A,505261,4776081,122
35,C002,Arteaga,M,527783,4799414,19
36,C0C2,Balmaseda,C,482283,4780452,178
37,C069,Bermeo,M,521784,4806788,106
38,C0B6,Berna,A,526737,4781623,95
39,C0BE,Berriatua,C,542610,4794956,25
40,C065,Cerroja,A,467000,4784172,677
41,C003,Derio,M,512000,4793400,30
42,C039,Deusto,M,502705,4792288,3
43,C075,Eitzaga,M,540555,4780282,270
44,C074,Elorrio,C,536014,4755405,167
45,C038,Galindo,M,500099,4794599,5
46,C033,Igorre,M,517659,4779523,150
47,C036,Iurreta,M,530732,4780526,175
48,C0BD,Iruzubieta,A,538474,4789407,110
49,C045,La Garbea,M,484372,4784917,717
50,C0B7,Mañaria,A,528830,4776810,168
51,C019,Matxitxako,M,519236,4809650,433
52,C057,Mungia,A,512568,4801183,22
53,C063,Muxika,C,525328,4793031,16
54,C046,Oiz,M,533168,4786440,980
55,C0BA,Oleta,C,539907,4799217,14
56,C059,Ordunte,C,477000,4778900,300
57,C072,Orduña,M,497059,4759050,934
58,C0B4,Orozko,C,506844,4769797,200
59,C054,Otxandio,A,528001,4765557,556
60,C042,Punta Galea,M,497270,4802310,61
61,C0B9,Sangroniz,A,505614,4792725,10
62,C0C3,Sodupe-Cadagua,C,495995,4783316,55
63,C0C4,Sodupe-Herrerias,C,496493,4783287,56
64,C022,Urkiola,M,528860,4772196,709
65,C066,Untzueta,M,507555,4776061,764
66,C0B3,Urkizu,A,518614,4781377,75
67,C037,Venta Alta,M,508142,4784643,162
68,C0B2,Zaratamo,A,509930,4785225,65
69,C0E5,Agauntza,C,567111,4763165,180
70,C0DB,Aitzu,C,555192,4773691,312
71,C0D3,Aixola,A,540642,4778125,320
72,C0DD,Aizarnazabal,C,561436,4789525,25
73,C0E9,Alegia,C,573047,4772479,90
74,C078,Altzola,C,548980,4787513,17
75,C052,Ameraun,M,585392,4777054,285
76,C0E1,Amundarain,A,569284,4764889,111
77,C077,Andoain,C,580084,4784631,52
78,C080,Añarbe,C,593537,4786631,184
79,C0E8,Araxes,C,577492,4773789,141
80,C023,Arrasate,M,541442,4768876,318
81,C084,Behobia,A,600410,4799770,5
82,C0EA,Belauntza,C,577553,4777108,105
83,C026,Berastegi,M,582965,4775170,379
84,C058,Bidania,M,568815,4777366,592
85,C0F0,Ereñozu,C,586314,4788243,25
86,C0E7,Estanda,C,563701,4766917,195
87,C018,Higer,M,597528,4805073,43
88,C0DC,Ibai Eder,C,560566,4780543,90
89,C071,Jaizkibel,M,592554,4799722,545
90,C0EC,Lasarte,C,579571,4789327,18
91,C0DE,Matxinbenta,A,562347,4773633,250
92,C017,Miramon,M,583464,4793182,113
93,C0F4,Oiartzun,C,590556,4795682,53
94,C0D1,Oñati,C,545877,4767884,195
95,C043,Ordizia,M,567064,4766005,243
96,C0D2,San Prudentzio,C,545076,4770206,175
97,C007,Santa Clara,M,581216,4797047,48
98,C0D0,Urkulu,A,543083,4762471,340
99,C064,Zarautz,M,569393,4793780,80
100,C028,Zegama,M,557322,4756460,520
101,C029,Zizurkil,M,576346,4782336,149
